年月,信用卡產業別,信用卡詐欺型態,詐欺筆數,詐欺金額[新臺幣]
201405,行,被竊卡,13,17310
201405,行,未達卡,0,0
201405,行,冒用申請卡,6,7174
201405,行,偽卡,7,36717
201405,行,MOTO / EC,131,2202725
201405,行,多刷帳單之詐欺,0,0
201405,行,其他,14,10597
201405,文教康樂,遺失卡,14,108451
201405,文教康樂,被竊卡,6,51499
201405,文教康樂,未達卡,0,0
201405,文教康樂,冒用申請卡,0,0
201405,文教康樂,偽卡,15,168079
201405,文教康樂,MOTO / EC,6107,12620411
201405,文教康樂,多刷帳單之詐欺,0,0
201405,文教康樂,其他,13,139734
201405,百貨,遺失卡,14,233792
201405,百貨,被竊卡,5,51074
201405,百貨,未達卡,0,0
201405,百貨,冒用申請卡,0,0
201405,百貨,偽卡,19,268742
201405,百貨,MOTO / EC,62,451692
201405,百貨,多刷帳單之詐欺,0,0
201405,百貨,其他,2,10762
201405,其他,遺失卡,80,481744
201405,其他,被竊卡,6,147781
201405,其他,未達卡,0,0
201405,其他,冒用申請卡,13,63446
201405,其他,偽卡,53,765363
201405,其他,MOTO / EC,18765,27206947
201405,其他,多刷帳單之詐欺,2,37421
201405,其他,其他,68,340801
201406,食,遺失卡,93,552492
201406,食,被竊卡,85,175159
201406,食,未達卡,0,0
201406,食,冒用申請卡,0,0
201406,食,偽卡,53,305327
201406,食,MOTO / EC,145,627383
201406,食,多刷帳單之詐欺,1,9820
201406,食,其他,4,872
201406,衣,遺失卡,19,845051
201406,衣,被竊卡,4,51394
201406,衣,未達卡,0,0
201406,衣,冒用申請卡,2,34483
201406,衣,偽卡,14,297755
201406,衣,MOTO / EC,98,1156709
201406,衣,多刷帳單之詐欺,0,0
201406,衣,其他,0,0
201406,住,遺失卡,16,144319
201406,住,被竊卡,5,111144
201406,住,未達卡,0,0
201406,住,冒用申請卡,0,0
201406,住,偽卡,10,248755
201406,住,MOTO / EC,89,993656
201406,住,多刷帳單之詐欺,0,0
201406,住,其他,4,68037
201406,行,遺失卡,41,51253
201406,行,被竊卡,4,9886
201406,行,未達卡,0,0
201406,行,冒用申請卡,2,26368
201406,行,偽卡,35,387318
201406,行,MOTO / EC,131,2152378
201406,行,多刷帳單之詐欺,0,0
201406,行,其他,13,23280
201406,文教康樂,遺失卡,23,131677
201406,文教康樂,被竊卡,1,2142
201406,文教康樂,未達卡,0,0
201406,文教康樂,冒用申請卡,20,37241
201406,文教康樂,偽卡,13,75017
201406,文教康樂,MOTO / EC,3668,7271646
201406,文教康樂,多刷帳單之詐欺,0,0
201406,文教康樂,其他,204,262028
201406,百貨,遺失卡,32,308311
201406,百貨,被竊卡,3,110798
201406,百貨,未達卡,0,0
201406,百貨,冒用申請卡,0,0
201406,百貨,偽卡,31,516286
201406,百貨,MOTO / EC,118,450020
201406,百貨,多刷帳單之詐欺,0,0
201406,百貨,其他,5,30627
201406,其他,遺失卡,58,639928
201406,其他,被竊卡,15,516083
201406,其他,未達卡,0,0
201406,其他,冒用申請卡,19,27815
201406,其他,偽卡,43,699358
201406,其他,MOTO / EC,13408,16072028
201406,其他,多刷帳單之詐欺,0,0
201406,其他,其他,71,1733426
201407,食,遺失卡,30,152862
201407,食,被竊卡,19,101251
201407,食,未達卡,0,0
201407,食,冒用申請卡,8,21029
201407,食,偽卡,55,760182
201407,食,MOTO / EC,140,618928
201407,食,多刷帳單之詐欺,1,24304
201407,食,其他,20,337093
201407,衣,遺失卡,12,31067
